受付番号,トラブル内容,手配区分
SO-2503-33890,事故,レッカー
SO-2503-34054,バッテリー,ジャンピング
SO-2503-34057,パンク,スペア交換（事故）
SO-2503-34077,事故,レッカー
SO-2503-34111,パンク,レッカー
SO-2503-34124,事故,レッカー
SO-2503-34206,パンク,レッカー
SO-2503-34221,エンスト,レッカー
SO-2503-34276,事故,レッカー
SO-2503-34278,エンジン不始動,その他（故障）
SO-2503-34283,パンク,レッカー
SO-2503-34293,脱輪,脱輪・乗り上げ2本超
SO-2503-34410,バッテリー,バッテリー販売
SO-2503-34414,事故,レッカー
SO-2503-34461,エンスト,レッカー
SO-2503-34497,パンク,レッカー
SO-2503-34553,インロック,インロック（ドア）
SO-2503-34583,事故,レッカー
SO-2503-34635,その他,レッカー
SO-2503-34642,スタック,スタック（無料）
SO-2503-34739,バッテリー,ジャンピング
SO-2503-34851,事故,脱輪・乗り上げ2本超
SO-2503-34852,パンク,"レッカー,スペア交換（事故）"
SO-2503-34859,バッテリー,ジャンピング
SO-2503-34882,バッテリー,ジャンピング
SO-2503-34883,バッテリー,ジャンピング
SO-2503-34889,その他,レッカー
SO-2503-34890,バッテリー,ジャンピング
SO-2503-34905,バッテリー,ジャンピング
SO-2503-34908,バッテリー,ジャンピング
SO-2503-35121,その他,レッカー
SO-2503-35335,パンク,レッカー
SO-2503-35391,パンク,"スペア交換（事故）,レッカー"
SO-2503-35394,エンジン不始動,ジャンピング
SO-2503-35397,事故,その他（事故）
SO-2503-35404,事故,レッカー
SO-2503-35405,その他,レッカー
SO-2503-35412,エンジン不始動,ジャンピング
SO-2503-35420,オーバーヒート,レッカー
SO-2503-35423,パンク,レッカー
SO-2503-35445,パンク,エア補充
SO-2503-35567,バッテリー,ジャンピング
SO-2503-35802,バッテリー,ジャンピング
SO-2503-35804,事故,レッカー
SO-2503-35825,パンク,レッカー
SO-2503-35846,パンク,スペア交換（事故）
SO-2503-35853,バッテリー,"その他（故障）,レッカー"
SO-2503-35859,バッテリー,ジャンピング
SO-2503-35954,その他,レッカー
SO-2503-35984,事故,レッカー
SO-2503-36054,事故,"追衝突の引き出し,レッカー"
SO-2503-36105,その他,インロック（ドア）
SO-2503-36128,事故,"レッカー,追衝突の引き出し"
SO-2503-36176,事故,レッカー
SO-2503-36219,その他,レッカー
SO-2503-36317,事故,レッカー
SO-2503-36331,バッテリー,ジャンピング
SO-2503-36336,バッテリー,ジャンピング
SO-2503-36342,事故,脱輪・乗り上げ2本超
SO-2503-36369,パンク,レッカー
SO-2503-36374,事故,レッカー
SO-2503-36376,その他,レッカー
SO-2503-36382,エンジン不始動,"レッカー,その他（故障）"
SO-2503-36480,パンク,レッカー
SO-2503-36512,パンク,レッカー
SO-2503-36534,エンスト,レッカー
SO-2503-36539,オーバーヒート,レッカー
SO-2503-36605,パンク,レッカー
SO-2503-36614,事故,レッカー
SO-2503-36622,インロック,インロック（ドア）
SO-2503-36638,事故,"レッカー,その他（事故）"
SO-2503-36652,その他,レッカー
SO-2503-36753,その他,レッカー
SO-2503-36786,バッテリー,ジャンピング
SO-2503-36794,事故,レッカー
SO-2503-36796,パンク,スペア交換（事故）
SO-2503-36815,その他,レッカー
SO-2503-36915,その他,レッカー
SO-2503-36958,パンク,レッカー
SO-2503-36967,バッテリー,ジャンピング
SO-2503-36996,その他,レッカー
SO-2503-37098,パンク,レッカー
SO-2503-37129,エンスト,"その他（故障）,レッカー"
SO-2503-37162,その他,レッカー
SO-2503-37192,エンスト,レッカー
SO-2503-37193,バッテリー,ジャンピング
SO-2503-37195,インロック,インロック（ドア）
SO-2503-37216,パンク,レッカー
SO-2503-37221,バッテリー,バッテリー販売
SO-2503-37237,エンスト,レッカー
SO-2503-37281,事故,レッカー
SO-2503-37282,パンク,レッカー
SO-2503-37290,バッテリー,その他（故障）
SO-2503-37301,その他,その他（故障）
SO-2503-37479,エンスト,レッカー
SO-2503-37510,その他,レッカー
SO-2503-37522,その他,レッカー
SO-2503-37538,事故,レッカー
SO-2503-37544,エンジン不始動,ジャンピング
SO-2503-37552,バッテリー,ジャンピング
SO-2503-37622,その他,レッカー
SO-2503-37644,パンク,スペア交換
SO-2503-37697,インロック,インロック（ドア）
SO-2503-37776,事故,レッカー
SO-2503-37827,バッテリー,バッテリー販売
SO-2503-37856,バッテリー,ジャンピング
SO-2503-37869,その他,レッカー
SO-2503-37888,事故,レッカー
SO-2503-37897,バッテリー,ジャンピング
SO-2503-37911,バッテリー,ジャンピング
SO-2503-37914,その他,その他（故障）
SO-2503-37915,事故,レッカー
SO-2503-37921,エンスト,レッカー
SO-2503-37922,バッテリー,ジャンピング
SO-2503-38056,パンク,パンク修理
SO-2503-38066,パンク,レッカー
SO-2503-38107,パンク,レッカー
SO-2503-38181,パンク,レッカー
SO-2503-38220,パンク,レッカー
SO-2503-38251,バッテリー,ジャンピング
SO-2503-38304,バッテリー,ジャンピング
SO-2503-38370,エンスト,レッカー
SO-2503-38430,事故,レッカー
SO-2503-38452,エンジン不始動,ジャンピング
SO-2503-38455,バッテリー,ジャンピング
SO-2503-38464,その他,レッカー
SO-2503-38465,事故,脱輪・乗り上げ1本
SO-2503-38468,バッテリー,ジャンピング
SO-2503-38470,事故,追衝突の引き出し
SO-2503-38471,事故,レッカー
SO-2503-38485,その他,レッカー
SO-2503-38492,バッテリー,ジャンピング
SO-2503-38497,パンク,スペア交換（事故）
SO-2503-38506,事故,レッカー
SO-2503-38514,スタック,スタック（無料）
SO-2503-38556,事故,レッカー
SO-2503-38576,エンジン不始動,ジャンピング
SO-2503-38668,スタック,スタック（無料）
SO-2503-38746,バッテリー,ジャンピング
SO-2503-38878,パンク,レッカー
SO-2503-38919,その他,ジャンピング
SO-2503-38995,オーバーヒート,レッカー
SO-2503-39000,バッテリー,ジャンピング
SO-2503-39004,事故,レッカー
SO-2503-39010,バッテリー,ジャンピング
SO-2503-39015,事故,レッカー
SO-2503-39037,その他,レッカー
SO-2503-39283,エンジン不始動,ジャンピング
SO-2503-39315,その他,レッカー
SO-2503-39322,事故,レッカー
SO-2503-39337,バッテリー,レッカー
SO-2503-39368,その他,レッカー
SO-2503-39391,パンク,レッカー
SO-2503-39406,事故,レッカー
SO-2503-39425,パンク,レッカー
SO-2503-39447,事故,レッカー
SO-2503-39475,事故,レッカー
SO-2503-39502,パンク,レッカー
SO-2503-39515,事故,レッカー
SO-2503-39525,事故,レッカー
SO-2503-39532,事故,レッカー
SO-2503-39719,事故,レッカー
SO-2503-39786,事故,"レッカー,脱輪・乗り上げ2本超"
SO-2503-39807,バッテリー,レッカー
SO-2503-39837,事故,レッカー
SO-2503-39979,パンク,レッカー
SO-2503-39982,パンク,レッカー
SO-2503-40002,インロック,インロック（ドア）
SO-2503-40013,ガス欠,"ガソリン配達（継続契約）,ジャンピング"
SO-2503-40019,パンク,レッカー
SO-2503-40022,エンスト,"レッカー,その他（故障）"
SO-2503-40024,事故,その他（事故）
SO-2503-40040,事故,"レッカー,脱輪・乗り上げ2本超"
SO-2503-40047,バッテリー,ジャンピング
SO-2503-40135,エンジン不始動,ジャンピング
SO-2503-40159,事故,レッカー
SO-2503-40197,パンク,レッカー
SO-2503-40224,事故,脱輪・乗り上げ1本
SO-2503-40234,事故,レッカー
SO-2503-40286,事故,追衝突の引き出し
SO-2503-40299,エンスト,レッカー
SO-2503-40304,パンク,エア補充
SO-2503-40323,パンク,レッカー
SO-2503-40326,ガス欠,ガソリン配達（継続契約）
SO-2503-40340,パンク,レッカー
SO-2503-40387,エンジン不始動,ジャンピング
SO-2503-40393,事故,脱輪・乗り上げ1本
SO-2503-40448,事故,レッカー
SO-2503-40451,事故,"脱輪・乗り上げ2本超,レッカー"
SO-2503-40518,事故,レッカー
SO-2503-40620,その他,レッカー
SO-2503-40625,バッテリー,ジャンピング
SO-2503-40634,その他,レッカー
SO-2503-40638,事故,レッカー
SO-2503-40644,バッテリー,ジャンピング
SO-2503-40647,その他,レッカー
SO-2503-40652,バッテリー,ジャンピング
SO-2503-40665,インロック,インロック（ドア）
SO-2503-40669,その他,レッカー
SO-2503-40678,バッテリー,ジャンピング
SO-2503-40723,インロック,インロック（ドア）
SO-2503-40782,その他,レッカー
SO-2503-40787,バッテリー,"ジャンピング,インロック（ドア）"
SO-2503-40829,事故,レッカー
SO-2503-40849,事故,レッカー
SO-2503-40876,パンク,レッカー
SO-2503-40909,パンク,スペア交換（事故）
SO-2503-40916,事故,レッカー
SO-2503-40922,事故,その他（事故）
SO-2503-40995,事故,"追衝突の引き出し,レッカー"
SO-2503-41049,パンク,レッカー
SO-2503-41083,その他,レッカー
SO-2503-41085,エンジン不始動,レッカー
SO-2503-41106,オーバーヒート,レッカー
SO-2503-41137,バッテリー,ジャンピング
SO-2503-41139,その他,レッカー
SO-2503-41153,その他,レッカー
SO-2503-41155,バッテリー,ジャンピング
SO-2503-41161,事故,レッカー
SO-2503-41179,その他,ジャンピング
SO-2503-41188,その他,レッカー
SO-2503-41222,事故,レッカー
SO-2503-41232,バッテリー,ジャンピング
SO-2503-41245,バッテリー,ジャンピング
SO-2503-41342,バッテリー,ジャンピング
SO-2503-41424,事故,レッカー
SO-2503-41428,事故,レッカー
SO-2503-41429,その他,レッカー
SO-2503-41465,その他,レッカー
SO-2503-41496,エンジン不始動,レッカー
SO-2503-41563,パンク,スペア交換
SO-2503-41654,バッテリー,ジャンピング
SO-2503-41720,その他,レッカー
SO-2503-41796,バッテリー,ジャンピング
SO-2503-41821,エンジン不始動,その他（故障）
SO-2503-41834,バッテリー,ジャンピング
SO-2503-41846,エンスト,"レッカー,その他（故障）"
SO-2503-41847,事故,レッカー
SO-2503-41849,バッテリー,ジャンピング
SO-2503-41861,事故,レッカー
SO-2503-41866,パンク,レッカー
SO-2503-41887,パンク,レッカー
SO-2503-41930,パンク,レッカー
SO-2503-41941,事故,レッカー
SO-2503-42264,パンク,レッカー
SO-2503-42287,事故,レッカー
SO-2503-42367,その他,レッカー
SO-2503-42374,その他,レッカー
SO-2503-42382,事故,"レッカー,追衝突の引き出し"
SO-2503-42423,事故,"レッカー,脱輪・乗り上げ1本"
SO-2503-42425,パンク,レッカー
SO-2503-42430,パンク,レッカー
SO-2503-42440,事故,"レッカー,追衝突の引き出し"
SO-2503-42448,バッテリー,ジャンピング
SO-2503-42463,事故,レッカー
SO-2503-42466,パンク,レッカー
SO-2503-42477,パンク,レッカー
SO-2503-42492,バッテリー,ジャンピング
SO-2503-42509,インロック,インロック（ドア）
SO-2503-42566,パンク,レッカー
SO-2503-42580,その他,レッカー
SO-2503-42612,事故,"レッカー,追衝突の引き出し"
SO-2503-42656,パンク,レッカー
SO-2503-42677,その他,レッカー
SO-2503-42723,事故,レッカー
SO-2503-42767,事故,レッカー
SO-2503-42850,その他,レッカー
SO-2503-42858,事故,レッカー
SO-2503-42876,バッテリー,ジャンピング
SO-2503-42917,その他,レッカー
SO-2503-42939,エンジン不始動,レッカー
SO-2503-42985,バッテリー,ジャンピング
SO-2503-42991,事故,レッカー
SO-2503-43138,バッテリー,バッテリー販売
SO-2503-43147,その他,レッカー
SO-2503-43176,事故,レッカー
SO-2503-43191,パンク,レッカー
SO-2503-43342,パンク,スペア交換
SO-2503-43387,オーバーヒート,レッカー
SO-2503-43402,パンク,レッカー
SO-2503-43417,その他,レッカー
SO-2503-43425,バッテリー,バッテリー販売
SO-2503-43434,バッテリー,ジャンピング
SO-2503-43440,その他,レッカー
SO-2503-43443,バッテリー,ジャンピング
SO-2503-43444,事故,レッカー
SO-2503-43446,事故,レッカー
SO-2503-43448,バッテリー,ジャンピング
SO-2503-43452,エンジン不始動,ジャンピング
SO-2503-43455,バッテリー,ジャンピング
SO-2503-43490,その他,レッカー
SO-2503-43562,オーバーヒート,レッカー
SO-2503-43564,パンク,レッカー
SO-2503-43666,パンク,レッカー
SO-2503-43685,その他,レッカー
SO-2503-43714,事故,レッカー
SO-2503-43772,パンク,レッカー
SO-2503-43875,その他,レッカー
SO-2503-43898,事故,レッカー
SO-2503-43899,インロック,インロック（ドア）
SO-2503-43906,その他,レッカー
SO-2503-43908,その他,レッカー
SO-2503-43913,バッテリー,ジャンピング
SO-2503-43934,バッテリー,ジャンピング
SO-2503-43939,バッテリー,ジャンピング
SO-2503-43956,エンスト,"レッカー,その他（故障）"
SO-2503-43961,ガス欠,ガソリン配達（継続契約）
SO-2503-43972,エンスト,レッカー
SO-2503-43976,オーバーヒート,レッカー
SO-2503-43993,インロック,インロック（ドア）
SO-2503-44001,事故,レッカー
SO-2503-44081,パンク,レッカー
SO-2503-44124,その他,その他（故障）
SO-2503-44197,事故,レッカー
SO-2503-44227,事故,レッカー
SO-2503-44248,事故,レッカー
SO-2503-44271,事故,レッカー
SO-2503-44325,その他,レッカー
SO-2503-44385,バッテリー,ジャンピング
SO-2503-44388,バッテリー,ジャンピング
SO-2503-44418,事故,レッカー
SO-2503-44427,その他,レッカー
SO-2503-44428,パンク,レッカー
SO-2503-44447,パンク,スペア交換（事故）
SO-2503-44484,その他,レッカー
SO-2503-44518,事故,レッカー
SO-2503-44681,バッテリー,ジャンピング
SO-2503-44693,パンク,レッカー
SO-2503-44738,その他,レッカー
SO-2503-44741,パンク,スペア交換（事故）
SO-2503-44779,その他,レッカー
SO-2503-44796,その他,レッカー
SO-2503-44800,パンク,レッカー
SO-2503-44825,パンク,レッカー
SO-2503-44849,その他,レッカー
SO-2503-44863,その他,レッカー
SO-2503-44876,パンク,レッカー
SO-2503-44877,バッテリー,ジャンピング
SO-2503-44883,その他,レッカー
SO-2503-44888,バッテリー,ジャンピング
SO-2503-44894,パンク,スペア交換
SO-2503-44904,エンスト,ジャンピング
SO-2503-44913,事故,レッカー
SO-2503-44916,その他,レッカー
SO-2503-44928,エンジン不始動,その他（故障）
SO-2503-44945,その他,レッカー
SO-2503-45136,エンスト,レッカー
SO-2503-45307,バッテリー,ジャンピング
SO-2503-45322,事故,レッカー
SO-2503-45347,パンク,"レッカー,スペア交換（事故）"
SO-2503-45400,事故,レッカー
SO-2503-45409,事故,レッカー
SO-2503-45430,バッテリー,ジャンピング
SO-2503-45444,バッテリー,ジャンピング
SO-2503-45449,事故,"レッカー,その他（事故）"
SO-2503-45455,バッテリー,ジャンピング
SO-2503-45462,ガス欠,ガソリン配達（継続契約）
SO-2503-45466,バッテリー,ジャンピング
SO-2503-45524,バッテリー,ジャンピング
SO-2503-45580,事故,レッカー
SO-2503-45594,ガス欠,ガソリン配達（継続契約）
SO-2503-45610,エンジン不始動,その他（故障）
SO-2503-45633,スタック,スタック（無料）
SO-2503-45638,パンク,スペア交換
SO-2503-45655,バッテリー,その他（故障）
SO-2503-45759,その他,レッカー
SO-2503-45760,パンク,レッカー
SO-2503-45805,パンク,レッカー
SO-2503-45893,バッテリー,"その他（故障）,レッカー"
SO-2503-45914,パンク,"レッカー,スペア交換"
SO-2503-45945,事故,レッカー
SO-2503-45948,パンク,レッカー
SO-2503-45949,バッテリー,ジャンピング
SO-2503-45952,バッテリー,ジャンピング
SO-2503-45956,その他,レッカー
SO-2503-45959,バッテリー,ジャンピング
SO-2503-45964,バッテリー,ジャンピング
SO-2503-46064,事故,レッカー
SO-2503-46075,その他,レッカー
SO-2503-46095,事故,脱輪・乗り上げ1本
SO-2503-46097,パンク,レッカー
SO-2503-46158,パンク,レッカー
SO-2503-46301,オーバーヒート,レッカー
SO-2503-46346,パンク,レッカー
SO-2503-46371,エンジン不始動,その他（故障）
SO-2503-46431,パンク,レッカー
SO-2503-46459,バッテリー,ジャンピング
SO-2503-46463,バッテリー,ジャンピング
SO-2503-46465,バッテリー,ジャンピング
SO-2503-46475,事故,"レッカー,追衝突の引き出し"
SO-2503-46488,事故,その他（事故）
SO-2503-46498,バッテリー,ジャンピング
SO-2504-30004,バッテリー,ジャンピング
SO-2504-30100,インロック,インロック（ドア）
SO-2504-30179,その他,その他（故障）
SO-2504-30309,その他,レッカー
SO-2504-30324,その他,"レッカー,その他（故障）"
SO-2504-30330,その他,レッカー
SO-2504-30343,オーバーヒート,レッカー
SO-2504-30366,パンク,レッカー
SO-2504-30376,エンジン不始動,レッカー
SO-2504-30385,その他,レッカー
SO-2504-30387,ガス欠,ガソリン配達（新規契約）
SO-2504-30404,エンジン不始動,レッカー
SO-2504-30412,バッテリー,ジャンピング
SO-2504-30429,バッテリー,ジャンピング
SO-2504-30461,エンジン不始動,"レッカー,その他（故障）"
SO-2504-30486,事故,追衝突の引き出し
SO-2504-30532,インロック,インロック（ドア）
SO-2504-30560,その他,レッカー
SO-2504-30615,エンジン不始動,レッカー
SO-2504-30667,パンク,レッカー
SO-2504-30695,バッテリー,ジャンピング
SO-2504-30718,その他,その他（故障）
SO-2504-30728,バッテリー,バッテリー販売
SO-2504-30761,事故,レッカー
SO-2504-30788,バッテリー,ジャンピング
SO-2504-30839,その他,その他（故障）
SO-2504-30843,パンク,スペア交換（事故）
SO-2504-30852,パンク,レッカー
SO-2504-30855,事故,レッカー
SO-2504-30857,バッテリー,ジャンピング
SO-2504-30871,インロック,インロック（ドア）
SO-2504-30879,バッテリー,ジャンピング
SO-2504-30883,エンスト,"レッカー,その他（故障）"
SO-2504-30886,パンク,レッカー
SO-2504-30924,パンク,レッカー
SO-2504-30954,事故,レッカー
SO-2504-31006,その他,レッカー
SO-2504-31034,事故,レッカー
SO-2504-31130,バッテリー,ジャンピング
SO-2504-31171,パンク,レッカー
SO-2504-31178,パンク,レッカー
SO-2504-31197,パンク,レッカー
SO-2504-31203,バッテリー,ジャンピング
SO-2504-31235,その他,レッカー
SO-2504-31240,その他,レッカー
SO-2504-31245,脱輪,脱輪・乗り上げ1本
SO-2504-31257,バッテリー,ジャンピング
SO-2504-31264,その他,レッカー
SO-2504-31275,バッテリー,その他（故障）
SO-2504-31295,事故,レッカー
SO-2504-31303,ガス欠,ガソリン配達（継続契約）
SO-2504-31305,バッテリー,ジャンピング
SO-2504-31331,エンスト,レッカー
SO-2504-31351,エンジン不始動,その他（故障）
SO-2504-31440,パンク,レッカー
SO-2504-31442,エンジン不始動,レッカー
SO-2504-31452,パンク,レッカー
SO-2504-31465,事故,レッカー
SO-2504-31524,事故,"脱輪・乗り上げ2本超,レッカー"
SO-2504-31537,パンク,レッカー
SO-2504-31567,パンク,レッカー
SO-2504-31571,事故,レッカー
SO-2504-31720,事故,レッカー
SO-2504-31721,その他,レッカー
SO-2504-31731,パンク,レッカー
SO-2504-31750,その他,レッカー
SO-2504-31768,パンク,レッカー
SO-2504-31775,その他,レッカー
SO-2504-31877,バッテリー,ジャンピング
SO-2504-31928,事故,その他（事故）
SO-2504-31938,その他,レッカー
SO-2504-31941,パンク,レッカー
SO-2504-31949,事故,"追衝突の引き出し,レッカー"
SO-2504-31955,事故,レッカー
SO-2504-32068,その他,レッカー
SO-2504-32078,ガス欠,ガソリン配達（新規契約）
SO-2504-32162,事故,レッカー
SO-2504-32191,インロック,インロック（ドア）
SO-2504-32222,事故,その他（事故）
SO-2504-32256,バッテリー,ジャンピング
SO-2504-32285,オーバーヒート,レッカー
SO-2504-32299,バッテリー,ジャンピング
SO-2504-32301,その他,"レッカー,その他（故障）"
SO-2504-32317,バッテリー,ジャンピング
SO-2504-32318,バッテリー,ジャンピング
SO-2504-32329,パンク,レッカー
SO-2504-32449,事故,レッカー
SO-2504-32532,バッテリー,"レッカー,その他（故障）"
SO-2504-32571,エンジン不始動,レッカー
SO-2504-32700,バッテリー,ジャンピング
SO-2504-32783,その他,レッカー
SO-2504-32798,ガス欠,ガソリン配達（継続契約）
SO-2504-32845,ガス欠,ガソリン配達（継続契約）
SO-2504-32860,インロック,インロック（ドア）
SO-2504-32863,インロック,インロック（ドア）
SO-2504-32937,その他,レッカー
SO-2504-32995,その他,レッカー
SO-2504-33141,エンジン不始動,バッテリー販売
SO-2504-33148,バッテリー,"その他（故障）,レッカー"
SO-2504-33262,事故,"レッカー,追衝突の引き出し"
SO-2504-33324,その他,ジャンピング
SO-2504-33348,バッテリー,ジャンピング
SO-2504-33358,バッテリー,その他（故障）
SO-2504-33359,バッテリー,ジャンピング
SO-2504-33364,エンジン不始動,"その他（故障）,レッカー"
SO-2504-33448,事故,レッカー
SO-2504-33603,パンク,エア補充
SO-2504-33646,エンジン不始動,ジャンピング
SO-2504-33658,エンスト,レッカー
SO-2504-33672,事故,"追衝突の引き出し,レッカー"
SO-2504-33680,オーバーヒート,レッカー
SO-2504-33707,事故,レッカー
SO-2504-33743,パンク,レッカー
SO-2504-33773,その他,レッカー
SO-2504-33781,ガス欠,ガソリン配達（継続契約）
SO-2504-33785,パンク,スペア交換
SO-2504-33804,事故,レッカー
SO-2504-33815,その他,レッカー
SO-2504-33828,パンク,レッカー
SO-2504-33855,事故,レッカー
SO-2504-33868,バッテリー,ジャンピング
SO-2504-33879,事故,レッカー
SO-2504-33886,バッテリー,バッテリー販売
SO-2504-33902,パンク,レッカー
SO-2504-33947,事故,レッカー
SO-2504-33956,その他,レッカー
SO-2504-33999,エンスト,レッカー
SO-2504-34047,バッテリー,ジャンピング
SO-2504-34051,パンク,レッカー
SO-2504-34074,パンク,スペア交換（事故）
SO-2504-34077,その他,レッカー
SO-2504-34106,エンジン不始動,ジャンピング
SO-2504-34155,エンジン不始動,レッカー
SO-2504-34161,バッテリー,ジャンピング
SO-2504-34280,その他,レッカー
SO-2504-34420,事故,スペア交換（事故）
SO-2504-34471,その他,レッカー
SO-2504-34483,事故,追衝突の引き出し
SO-2504-34527,インロック,インロック（ドア）
SO-2504-34577,その他,レッカー
SO-2504-34581,パンク,スペア交換
SO-2504-34586,パンク,レッカー
SO-2504-34607,バッテリー,ジャンピング
SO-2504-34621,エンスト,レッカー
SO-2504-34652,事故,"横転・転覆・落車,レッカー"
SO-2504-34756,パンク,スペア交換
SO-2504-34879,インロック,インロック（ドア）
SO-2504-34908,エンスト,レッカー
SO-2504-34967,バッテリー,バッテリー販売
SO-2504-34989,事故,レッカー
SO-2504-35000,パンク,レッカー
SO-2504-35013,事故,"レッカー,追衝突の引き出し"
SO-2504-35024,その他,レッカー
SO-2504-35053,パンク,レッカー
SO-2504-35062,その他,レッカー
SO-2504-35194,パンク,レッカー
SO-2504-35230,バッテリー,ジャンピング
SO-2504-35247,パンク,レッカー
SO-2504-35401,パンク,レッカー
SO-2504-35407,インロック,インロック（ドア）
SO-2504-35489,インロック,インロック（ドア）
SO-2504-35492,エンジン不始動,レッカー
SO-2504-35596,エンスト,レッカー
SO-2504-35688,エンスト,レッカー
SO-2504-35801,その他,レッカー
SO-2504-35809,オーバーヒート,レッカー
SO-2504-35850,エンスト,レッカー
SO-2504-36000,事故,レッカー
SO-2504-36022,パンク,レッカー
SO-2504-36028,バッテリー,ジャンピング
SO-2504-36034,その他,ジャンピング
SO-2504-36042,パンク,レッカー
SO-2504-36054,パンク,スペア交換
SO-2504-36099,事故,レッカー
SO-2504-36108,事故,"レッカー,追衝突の引き出し"
SO-2504-36152,事故,ガソリン配達（継続契約）
SO-2504-36240,パンク,レッカー
SO-2504-36286,事故,"脱輪・乗り上げ1本,レッカー"
SO-2504-36308,バッテリー,ジャンピング
SO-2504-36336,エンスト,レッカー
SO-2504-36382,事故,追衝突の引き出し
SO-2504-36453,インロック,インロック（ドア）
SO-2504-36632,その他,レッカー
SO-2504-36635,エンスト,ジャンピング
SO-2504-36673,インロック,インロック（ドア）
SO-2504-36721,エンスト,レッカー
SO-2504-37082,パンク,レッカー
SO-2504-37088,事故,レッカー
SO-2504-37100,その他,"その他（故障）,レッカー"
SO-2504-37102,パンク,レッカー
SO-2504-37117,エンジン不始動,ジャンピング
SO-2504-37196,オーバーヒート,レッカー
